Fisica	Electromagnetismo	Campo eléctrico	Región del espacio alrededor de una carga eléctrica donde actúa una fuerza eléctrica sobre otras cargas.
Fisica	Electromagnetismo	Ley de Ampère	Relación matemática que describe la circulación de un campo magnético alrededor de un conductor por el cual fluye una corriente eléctrica.
Fisica	Electromagnetismo	Ley de Faraday	Principio que establece que un cambio en el flujo magnético a través de una espira induce una fuerza electromotriz (EMF) en la espira.
Fisica	Electromagnetismo	Bobina	Dispositivo formado por varias vueltas de alambre conductor, utilizado para generar un campo magnético o para inducir corriente.
Fisica	Electromagnetismo	Ley de Gauss	Principio que relaciona el flujo magnético a través de una superficie cerrada con la suma de las corrientes magnéticas que la atraviesan.
Fisica	Óptica	Luz	Radiación electromagnética visible por el ojo humano, que se propaga en forma de ondas.
Fisica	Óptica	Reflexión	Cambio en la dirección de propagación de la luz al pasar de un medio a otro con diferente índice de refracción.
Fisica	Óptica	Refracción	Cambio de dirección de un rayo de luz cuando incide sobre una superficie.
Fisica	Óptica	Prisma	Objeto óptico transparente con superficies planas que separa la luz en sus componentes de diferentes longitudes de onda.
Fisica	Óptica	Lente	Dispositivo óptico que enfoca o dispersa la luz mediante su curvatura, utilizado en cámaras, anteojos, microscopios, y telescopios.
Ciencias naturales	Ecología	Ecosistema	Sistema formado por seres vivos y su entorno físico, donde interactúan entre sí y con el ambiente.
Ciencias naturales	Ecología	Biodiversidad	Variedad de vida en la Tierra, que incluye la diversidad genética, de especies y de ecosistemas.
Ciencias naturales	Ecología	Cadena alimentaria	Serie de organismos interconectados, donde cada uno se alimenta del anterior y es alimento para el siguiente.
Ciencias naturales	Ecología	Ciclo del agua	Proceso continuo de circulación del agua entre la atmósfera, la tierra y los cuerpos de agua, que incluye evaporación, condensación y precipitación.
Ciencias naturales	Ecología	Bioma	Gran área geográfica con características climáticas similares que alberga una comunidad específica de plantas y animales.
Ciencias naturales	Genética	ADN	Ácido desoxirribonucleico, la molécula que contiene la información genética hereditaria en los organismos.
Ciencias naturales	Genética	Gen	Unidad de información hereditaria que codifica una característica específica, y que se encuentra en el ADN.
Ciencias naturales	Genética	Cromosoma	Estructura compuesta por ADN y proteínas que transporta genes y se encuentra en el núcleo de las células.
Ciencias naturales	Genética	Mutación	Cambio en la secuencia de ADN que puede dar lugar a variaciones genéticas.
Ciencias naturales	Genética	Herencia	Transmisión de características genéticas de padres a descendencia a través de la reproducción.
Química	Química orgánica	Hidrocarburos	Compuestos orgánicos formados exclusivamente por átomos de carbono e hidrógeno. Pueden ser alifáticos (cadena lineal) o aromáticos (con anillos).
Química	Química orgánica	Isomería	Fenómeno en el cual dos o más compuestos químicos tienen la misma fórmula molecular pero diferentes estructuras y propiedades.
Química	Química orgánica	grupo funcional	Átomo o grupo de átomos que confiere propiedades químicas particulares a una molécula orgánica. Ejemplos incluyen los grupos alcoholes, ésteres y aminas.
Química	Química orgánica	Reacción de adición	Tipo de reacción química en la que dos moléculas se combinan para formar una única molécula más grande, común en compuestos insaturados como los alquenos.
